lat,lon,year
10.498153,42.594944,2011
8.842976,43.87066,2011
9.301856,42.596493,2011
9.400539,42.858524,2011
9.096073,43.204144,2011
9.038158,43.253727,2011
9.06748,43.534267,2011
9.323408,43.27841,2011
9.91265,42.47255,2011
9.746772,42.308968,2011
9.630952,42.146103,2011
9.602981,42.08033,2011
9.663815,41.78955,2011
9.568982,41.867348,2011
9.551926,41.785366,2011
9.513218,41.816135,2011
9.473032,41.71865,2011
9.565526,41.52318,2011
9.551526,41.35838,2011
9.374061,41.58846,2011
9.15085,41.844055,2011
9.246306,42.217396,2011
9.273056,42.132217,2011
9.264459,42.147743,2011
9.183186,42.020687,2011
9.526855,41.94088,2011
9.56789,41.982265,2011
9.550917,42.082367,2011
9.371078,42.10319,2011
9.360295,42.092068,2011
9.3380995,42.099953,2011
9.315073,42.144653,2011
9.310297,42.18422,2011
9.337263,42.200428,2011
9.332576,42.248505,2011
9.220796,42.495224,2011
9.239758,42.441944,2011
9.062638,41.68747,2011
9.00937,40.721874,2011
8.652308,40.61785,2011
8.571903,40.317516,2011
8.898765,40.274464,2011
8.939001,40.47145,2011
9.249247,40.059856,2011
9.356299,40.23647,2011
9.517871,40.16479,2011
10.943629,40.005436,2011
11.113618,40.017212,2011
11.214004,40.205593,2011
10.46241,42.243496,2011
11.53111,41.41419,2011
11.527803,41.52071,2011
11.522329,41.569298,2011
11.689532,41.34812,2011
11.885877,41.573814,2011
11.628454,40.882565,2011
11.674194,40.09553,2011
12.620966,39.424454,2011
12.623134,39.651684,2011
11.991804,39.78002,2011
11.904846,39.44947,2011
11.991048,39.357075,2011
12.006236,39.607647,2011
11.813998,39.140408,2011
11.962525,39.098156,2011
12.428074,38.70532,2011
12.514443,38.824986,2011
12.398912,39.08975,2011
12.758064,38.99387,2011
12.782627,39.30689,2011
12.805251,37.41838,2011
12.305988,37.838013,2011
12.338496,37.675022,2011
12.556393,37.31186,2011
12.049824,37.800323,2011
12.356297,38.452442,2011
12.254391,38.652576,2011
11.64544,38.418858,2011
11.817644,38.160225,2011
11.786947,37.5908,2011
11.689073,37.607456,2011
11.3744755,37.452324,2011
10.955194,38.284695,2011
10.907046,38.03652,2011
11.238573,38.31134,2011
10.756198,38.769672,2011
11.026883,38.922935,2011
11.654919,39.035755,2011
11.356367,39.434925,2011
11.669207,39.656605,2011
11.41596,39.84857,2011
11.08743,39.78439,2011
11.003906,39.93879,2011
10.987839,39.92341,2011
10.528153,39.813107,2011
10.72069,39.88603,2011
10.588352,39.907497,2011
10.573893,39.93543,2011
10.124927,39.67131,2011
10.5685625,39.235664,2011
10.177151,38.97278,2011
10.125568,39.317307,2011
10.024511,39.213165,2011
9.779791,38.658245,2011
9.554082,39.579338,2011
9.890489,39.48453,2011
9.678973,39.913593,2011
9.612571,39.783043,2011
8.738148,39.84053,2011
8.727179,39.1877,2011
8.683492,38.805435,2011
9.003974,39.002743,2011
9.3723545,38.32236,2011
9.05607,38.58681,2011
8.970891,38.624557,2011
8.821663,38.346928,2011
8.636101,38.151936,2011
8.841154,37.913578,2011
8.720428,37.911457,2011
9.790074,37.505943,2011
9.991906,37.692554,2011
9.891234,38.37443,2011
10.016586,38.249226,2011
10.418072,38.169712,2011
10.437603,38.31844,2011
10.579219,38.606255,2011
10.579432,37.7985,2011
10.4216175,37.57655,2011
10.589277,37.461597,2011
10.792776,37.144543,2011
10.829337,37.064423,2011
10.577376,37.044968,2011
10.93707,36.654755,2011
9.847087,36.342297,2011
